,OK,SHORT NAME
157,https://www.nature.com/articles/s41550-019-0896-7,ASTRONOMY
158,https://www.nature.com/articles/s41550-019-0895-8,ASTRONOMY
159,https://www.nature.com/articles/s41550-019-0891-z,ASTRONOMY
160,https://www.nature.com/articles/s41550-019-0889-6,ASTRONOMY
161,https://www.nature.com/articles/s41550-019-0861-5,ASTRONOMY
162,https://www.nature.com/articles/s41550-019-0864-2,ASTRONOMY
163,https://www.nature.com/articles/s41550-019-0877-x,ASTRONOMY
164,https://www.nature.com/articles/s41550-019-0866-0,ASTRONOMY
165,https://www.nature.com/articles/s41550-019-0870-4,ASTRONOMY
166,https://www.nature.com/articles/s41550-019-0872-2,ASTRONOMY
167,https://www.nature.com/articles/s41550-019-0873-1,ASTRONOMY
168,https://www.nature.com/articles/s41550-019-0871-3,ASTRONOMY
169,https://www.nature.com/articles/s41550-019-0841-9,ASTRONOMY
170,https://www.nature.com/articles/s41550-019-0834-8,ASTRONOMY
171,https://www.nature.com/articles/s41550-019-0851-7,ASTRONOMY
172,https://www.nature.com/articles/s41550-019-0847-3,ASTRONOMY
173,https://www.nature.com/articles/s41550-019-0848-2,ASTRONOMY
174,https://www.nature.com/articles/s41550-019-0846-4,ASTRONOMY
175,https://www.nature.com/articles/s41550-019-0849-1,ASTRONOMY
176,https://www.nature.com/articles/s41550-019-0836-6,ASTRONOMY
177,https://www.nature.com/articles/s41550-019-0811-2,ASTRONOMY
178,https://www.nature.com/articles/s41550-019-0827-7,ASTRONOMY
179,https://www.nature.com/articles/s41550-019-0808-x,ASTRONOMY
180,https://www.nature.com/articles/s41550-019-0817-9,ASTRONOMY
181,https://www.nature.com/articles/s41550-019-0818-8,ASTRONOMY
182,https://www.nature.com/articles/s41550-019-0825-9,ASTRONOMY
183,https://www.nature.com/articles/s41550-019-0826-8,ASTRONOMY
184,https://www.nature.com/articles/s41550-019-0805-0,ASTRONOMY
185,https://www.nature.com/articles/s41550-019-0802-3,ASTRONOMY
186,https://www.nature.com/articles/s41550-019-0802-3,ASTRONOMY
187,https://www.nature.com/articles/s41550-019-0775-2,ASTRONOMY
188,https://www.nature.com/articles/s41550-019-0778-z,ASTRONOMY
189,https://www.nature.com/articles/s41550-019-0787-y,ASTRONOMY
190,https://www.nature.com/articles/s41550-019-0773-4,ASTRONOMY
191,https://www.nature.com/articles/s41550-019-0782-3,ASTRONOMY
192,https://www.nature.com/articles/s41550-019-0785-0,ASTRONOMY
193,https://www.nature.com/articles/s41550-019-0783-2,ASTRONOMY
194,https://www.nature.com/articles/s41550-019-0784-1,ASTRONOMY
195,https://www.nature.com/articles/s41550-019-0766-3,ASTRONOMY
196,https://www.nature.com/articles/s41550-019-0748-5,ASTRONOMY
197,https://www.nature.com/articles/s41550-019-0767-2,ASTRONOMY
198,https://www.nature.com/articles/s41550-019-0739-6,ASTRONOMY
199,https://www.nature.com/articles/s41550-019-0759-2,ASTRONOMY
200,https://www.nature.com/articles/s41550-019-0760-9,ASTRONOMY
201,https://www.nature.com/articles/s41550-019-0762-7,ASTRONOMY
202,https://www.nature.com/articles/s41550-019-0761-8,ASTRONOMY
203,https://www.nature.com/articles/s41550-019-0728-9,ASTRONOMY
204,https://www.nature.com/articles/s41550-019-0742-y,ASTRONOMY
205,https://www.nature.com/articles/s41550-019-0720-4,ASTRONOMY
206,https://www.nature.com/articles/s41550-019-0730-2,ASTRONOMY
207,https://www.nature.com/articles/s41550-019-0719-x,ASTRONOMY
208,https://www.nature.com/articles/s41550-019-0734-y,ASTRONOMY
209,https://www.nature.com/articles/s41550-019-0733-z,ASTRONOMY
210,https://www.nature.com/articles/s41550-019-0732-0,ASTRONOMY
211,https://www.nature.com/articles/s41550-019-0735-x,ASTRONOMY
212,https://www.nature.com/articles/s41550-019-0717-z,ASTRONOMY
213,https://www.nature.com/articles/s41550-019-0715-1,ASTRONOMY
214,https://www.nature.com/articles/s41550-019-0706-2,ASTRONOMY
215,https://www.nature.com/articles/s41550-019-0691-5,ASTRONOMY
216,https://www.nature.com/articles/s41550-019-0699-x,ASTRONOMY
217,https://www.nature.com/articles/s41550-018-0655-1,ASTRONOMY
218,https://www.nature.com/articles/s41550-019-0708-0,ASTRONOMY
219,https://www.nature.com/articles/s41550-019-0692-4,ASTRONOMY
220,https://www.nature.com/articles/s41550-019-0707-1,ASTRONOMY
221,https://www.nature.com/articles/s41550-019-0704-4,ASTRONOMY
222,https://www.nature.com/articles/s41550-019-0709-z,ASTRONOMY
223,https://www.nature.com/articles/s41550-019-0705-3,ASTRONOMY
224,https://www.nature.com/articles/s41550-018-0681-z,ASTRONOMY
225,https://www.nature.com/articles/s41550-018-0672-0,ASTRONOMY
